N_Percentile,Thr_Value,TN,FP,FN,TP,Sensitivity,Specificity,PPV,NPV,Recall,Accuracy,Site_Name
Top 77%,0.0146017019813876,2084,6433,16,595,0.973813420621931,0.244687096395444,0.0846613545816733,0.992380952380952,0.973813420621931,0.293492550394391,Oregon Health & Science University
Top 78%,0.0141215381446528,1996,6521,12,599,0.980360065466448,0.23435481977222,0.0841292134831461,0.99402390438247,0.980360065466448,0.284290096406661,Oregon Health & Science University
Top 79%,0.0136562481313884,1906,6611,11,600,0.981996726677578,0.223787718680286,0.0832062127305506,0.994261867501304,0.981996726677578,0.274539877300614,Oregon Health & Science University
Top 80%,0.0131565218809077,1816,6701,10,601,0.983633387888707,0.213220617588353,0.0823062174746645,0.994523548740416,0.983633387888707,0.264789658194566,Oregon Health & Science University
Top 81%,0.0125828248539311,1725,6792,10,601,0.983633387888707,0.202536104262064,0.0812931151088868,0.994236311239193,0.983633387888707,0.254820333041192,Oregon Health & Science University
Top 82%,0.0120021530535712,1634,6883,9,602,0.985270049099836,0.191851590935776,0.0804275217100868,0.994522215459525,0.985270049099836,0.244960560911481,Oregon Health & Science University
Top 83%,0.0115316863481544,1544,6973,8,603,0.986906710310966,0.181284489843842,0.0795934530095037,0.994845360824742,0.986906710310966,0.235210341805434,Oregon Health & Science University
Top 84%,0.0110417287455688,1453,7064,8,603,0.986906710310966,0.170599976517553,0.0786487544019825,0.994524298425736,0.986906710310966,0.22524101665206,Oregon Health & Science University
Top 85%,0.0105594563132172,1363,7154,7,604,0.988543371522095,0.160032875425619,0.0778551172982728,0.994890510948905,0.988543371522095,0.215490797546012,Oregon Health & Science University
Top 86%,0.0101171642208705,1271,7246,7,604,0.988543371522095,0.149230949864976,0.0769426751592357,0.99452269170579,0.988543371522095,0.205411919368975,Oregon Health & Science University
Top 87%,0.00972156013843987,1182,7335,5,606,0.991816693944354,0.138781261007397,0.0763128069512656,0.995787700084246,0.991816693944354,0.195880806310254,Oregon Health & Science University
Top 88%,0.0093329578954559,1092,7425,4,607,0.993453355155483,0.128214159915463,0.0755727091633466,0.996350364963504,0.993453355155483,0.186130587204207,Oregon Health & Science University
Top 89%,0.00894469546597297,1000,7517,4,607,0.993453355155483,0.11741223435482,0.0747168882323978,0.99601593625498,0.993453355155483,0.176051709027169,Oregon Health & Science University
Top 90%,0.00845398730103883,910,7607,3,608,0.995090016366612,0.106845133262886,0.074010955569081,0.99671412924425,0.995090016366612,0.166301489921122,Oregon Health & Science University
Top 91%,0.00799623338225504,819,7698,3,608,0.995090016366612,0.0961606199365974,0.0732000963159162,0.996350364963504,0.995090016366612,0.156332164767748,Oregon Health & Science University
Top 92%,0.00752696705586674,728,7789,3,608,0.995090016366612,0.0854761066103088,0.0724068119566512,0.995896032831737,0.995090016366612,0.146362839614373,Oregon Health & Science University
Top 93%,0.00711160444897644,637,7880,2,609,0.996726677577741,0.0747915932840202,0.0717398986924255,0.996870109546166,0.996726677577741,0.136503067484663,Oregon Health & Science University
Top 94%,0.00670107604064797,547,7970,1,610,0.998363338788871,0.0642244921920864,0.0710955710955711,0.998175182481752,0.998363338788871,0.126752848378615,Oregon Health & Science University
Top 95%,0.00617193945264683,456,8061,1,610,0.998363338788871,0.053539978865797803,0.0703494406642832,0.99781181619256,0.998363338788871,0.116783523225241,Oregon Health & Science University
Top 96%,0.00578493246054972,365,8152,1,610,0.998363338788871,0.0428554655395092,0.069618808491212,0.997267759562842,0.998363338788871,0.106814198071867,Oregon Health & Science University
Top 97%,0.00525190648361973,273,8244,1,610,0.998363338788871,0.0320535399788658,0.06889541450192,0.996350364963504,0.998363338788871,0.0967353198948291,Oregon Health & Science University
Top 98%,0.0046140106351959,182,8335,1,610,0.998363338788871,0.0213690266525772,0.0681945220793739,0.994535519125683,0.998363338788871,0.0867659947414549,Oregon Health & Science University
Top 99%,0.00370833000779957,92,8425,0,611,1,0.0108019255606434,0.067618415227977,1,1,0.0770157756354075,Oregon Health & Science University
Top 0.0%,0.9869590790019396,7110,0,1011,1,9.88142e-4,1,1,0.8755079423716291,9.88142e-4,0.8755232701305097,University of Chicago
Top 1.0%,0.6841529316992905,7094,16,946,66,0.065217391,0.9977496483825598,0.8048780487804879,0.8823383084577114,0.065217391,0.8815562669293278,University of Chicago
Top 2.0%,0.5134791197801065,7056,54,903,109,0.10770750988142291,0.9924050632911392,0.6687116564417178,0.8865435356200527,0.10770750988142291,0.8821718788475745,University of Chicago
Top 3.0%,0.4110055341159649,7020,90,858,154,0.15217391304347827,0.9873417721518988,0.6311475409836066,0.8910891089108911,0.15217391304347827,0.8832799803004187,University of Chicago
Top 4.0%,0.3355070327891534,6979,131,818,194,0.191699605,0.981575246132208,0.5969230769230769,0.895087854,0.191699605,0.8831568579167692,University of Chicago
Top 5.0%,0.2922459171620497,6927,183,788,224,0.22134387351778656,0.9742616033755276,0.5503685503685504,0.8978613091380427,0.22134387351778656,0.8804481654764836,University of Chicago
Top 6.0%,0.2550173639045038,6869,241,765,247,0.2440711462450593,0.9661040787623066,0.5061475409836066,0.8997904113177888,0.2440711462450593,0.8761388820487565,University of Chicago
Top 7.0%,0.2258764608065804,6824,286,729,283,0.27964426877470355,0.959774965,0.4973637961335677,0.903482060108566,0.27964426877470355,0.8750307805959123,University of Chicago
Top 8.0%,0.20001705552027957,6773,337,699,313,0.3092885375494071,0.9526019690576653,0.4815384615384615,0.906450749464668,0.3092885375494071,0.872445211,University of Chicago
Top 9.0%,0.17776708721670234,6718,392,673,339,0.3349802371541502,0.9448663853727144,0.4637482900136799,0.9089433094303884,0.3349802371541502,0.8688746614134449,University of Chicago
Top 10.0%,0.16075408196262378,6663,447,646,366,0.3616600790513834,0.9371308016877636,0.45018450184501846,0.9116158161171158,0.3616600790513834,0.8654272346712633,University of Chicago
Top 11.0%,0.14908484238297331,6602,508,626,386,0.3814229249011858,0.9285513361462728,0.4317673378076063,0.9133923630326508,0.3814229249011858,0.860379217,University of Chicago
Top 12.0%,0.1349707413712668,6545,565,602,410,0.4051383399209486,0.920534458509142,0.4205128205128205,0.9157688540646424,0.4051383399209486,0.8563161782812115,University of Chicago
Top 13.0%,0.12366104319585804,6486,624,580,432,0.4268774703557312,0.9122362869198312,0.4090909090909091,0.917916785,0.4268774703557312,0.8517606500861856,University of Chicago
