"group","hour","avg_temperature","std","n"
"HSR",38,37.6385671385671,0.584796159067676,518
"HSR",39,37.6543083900227,0.585819369338829,490
"HSR",40,37.6496310763889,0.607522014122667,512
"HSR",41,37.6521216097988,0.642278827895007,508
"HSR",42,37.65220856102,0.624969635840567,488
"HSR",43,37.6256339326879,0.645885103207342,482
"HSR",44,37.653,0.661743969952485,500
"HSR",45,37.6530073461892,0.64266341697059,484
"HSR",46,37.6557395905222,0.641408699259202,483
"HSR",47,37.6641865079365,0.617093328106464,448
"HSR",48,37.6720314735336,0.628806763440321,466
"HSR",49,37.6521892655367,0.636593397337714,472
"HSR",50,37.6404226312202,0.681277159630349,489
"HSR",51,37.6652933832709,0.624404555027608,445
"HSR",52,37.6415620641562,0.646796000523294,478
"HSR",53,37.6708214624881,0.60926647429961,468
"HSR",54,37.6226301895848,0.642198150070787,463
"HSR",55,37.6484825683471,0.658761682010612,443
"HSR",56,37.6183847504389,0.672955124034831,443
"HSR",57,37.5964240102171,0.652447992766245,435
"HSR",58,37.6280193236715,0.665585481475987,437
"HSR",59,37.5823801742919,0.66204307077226,408
"HSR",60,37.5728848114169,0.649445397554773,436
"HSR",61,37.5437242798354,0.661611881196027,432
"HSR",62,37.5225535168196,0.701865302941021,436
"HSR",63,37.55701370662,0.693512459598242,381
"HSR",64,37.5497630331754,0.711774587401065,422
"HSR",65,37.4788922661263,0.753089513841,329
"HSR",66,37.4749190938511,0.763782471652378,206
"HSR",67,37.4739858906526,0.68380513100009,126
"HSR",68,37.4284928492849,0.661989921674774,101
"HSR",69,37.3682896379526,0.630288068040606,89
"HSR",70,37.4054580896686,0.681786618361103,57
"HSR",71,37.3780864197531,0.636461149195021,36
"HSR",72,37.3518518518519,0.59557922898607,24
"HT",0,36.3695573622403,0.777030357192835,2460
"HT",1,35.990408357075,1.11534003636415,585
"HT",2,36.1510030864198,0.910728284769282,720
"HT",3,36.2361111111111,0.783822745853792,736
"HT",4,36.2999177824759,0.738857301151063,946
